CASE,QUESTNNR,RG02_01,TR02_01,response,direction,,"0 = summary; 1= response; 2=copy-pase, 3= other, 4=incomplete"
903,russia,1,В этом году выборы.исход определят россияне.допустим что партии остались прежние,0,,,
904,russia,1,Голосование в 2021 году прошло успешно,0,,,
905,russia,1,В сентября будут выборы в думу. Выбор зависит от 110 млн россиян,0,,,
912,russia,1,"в сентябре снова выборы, 450  из 2000кандидатов сядут в думу, от 110 миллионов россиян как обычно зависеть ничего не будет",0,,,
917,russia,1,В ссентябре 2021 года прошли выборы в госдуме. 2000 людей приняли участие. 110 миллионов смогли принять участие,0,,,
919,russia,1,"Всё корумпировано большинство мест займёт Единая Россия, выборы кок всегда будут куплены и результаты подтасованы, несогласных ждёт уголовное преследование",3,1,,
921,russia,1,"110 миллионов россиян решат судьбу 450 мандатов, выбрав из 2000 кандидатов.",0,,,
927,russia,1,"Голосование в ГД РФ в сентябре.Претендентов на 450 мандатов- 4 партии. Голосуют 110 миллионов Россиян.Выборы прошли,как допуск.",0,,,
929,russia,1,"19 сентрября 2021 года, будут ожесточенные выборы.",0,,,
937,russia,1,"В сентябре 2021 года в России состоятся выборы в Гос. Думу. Очевидно, что большинство в Думе будет принадлежать единой России, вследствие фальсификаций.",0,1,,
941,russia,1,"В гонке выборов примут участие более 2000 кандидатов. Народное голосование решит, кто из партий достоин занять существующие 450 мест в парламенте.",0,,,
948,russia,1,В сентябре 2021 года состоятся выборы в гос думу. В тексте решили допустить что в гос. думу прошли 4 партии как и в нынешнем созыве.,0,,,
952,russia,1,"19 сентября пройдут выборы в госдуму, где будет более 2-х тысяч кандидатов на 450 мест. Определить исход выборо могут больше 110 миллионов человек.",0,,,
959,russia,1,"19 сентября 2021 года состояться выборы депутатов Государственной Думы. Более 2000 кандидатов примут участие за места в парламенте, а определить исход выборов смогут более 110 миллионов россиян.",0,,,
960,russia,1,На выборах депутатов Гос.Думы вновь прошли четыре партии.,0,,,
963,russia,1,19 сентября 2021 года будут выборы.<br>определять исход будут 110 миллионов россиян,0,,,
966,russia,1,19 сентября выборы в госдуму,0,,,
969,russia,1,Состоятся выборы в сентябре и как обычно четыре партии изберут,0,,,
973,russia,1,"обычный новостной пост о выборах. перечислено количество, условия, цифры",0,,,
980,russia,1,19 сентября 2021 гоа будут выборы депутатов в госдуму,0,,,
986,russia,1,Осенью этого года состоятся выборы в Государственную Думу. Будут определены 450 новых депутатов.,0,,,
993,russia,1,Выборы в госдуму в сентябре. Четыре партии прошли в госдуму,0,,,
1008,russia,1,2000 кандидатов борятся за место в котором только примут участие 450 мест . 100 миллионов россиян смогут определить кто именно окажется на этой верхушке,0,,,
1013,russia,1,"Что в сентябре состоятся выборы  думу. Зарегестрированно более 2000 тысяч кандидатов, некоторые из которыхзаймут 450 мест",0,,,
1024,russia,1,Состоялись выборы в годуму РФ. Четыре партии получили места в парламенте.,0,,,
1025,russia,1,Осенью в стране пройдут выборы в гос.думу.На каждое местопретендует около 5 кандидатов.,0,,,
1032,russia,1,"В воскресенье, 19 сентября 2021 года, в России должны состояться выборы депутатов Государственной Думы в борьбе за 450 мест в парламенте. Определить исход выборов смогут более 110 миллионов россиян.",0,,,
1033,russia,1,"19 сентября 2021 года в России пройдут выборы депутатов, где примут участие более 2000 кандидатов. Отдать свой голос смогут более 110 миллионов россиян. Предположим, что выборы уже прошли и четыре партии получили места в ГорДуме.",0,,,
1038,russia,1,В сентябре этого года пройдут выборы в гос думу. Более 2000 кандидатов будут бороться за 450 мест в парламенте.,0,,,
1052,russia,1,19.09.2021 пройдут выборы в Госдуму. Из среди более 2000 кандидатов выберут 450,0,,,
1055,russia,1,"Более 2000 кандидатов примут участие в выборах 2021 года, более 110 миллионов граждан смогут проголосовать.",0,,,
1060,russia,1,"Скоро, 19 сентября этого года пройдут выборы в Госдуму.",0,,,
1067,russia,1,"Осенью пройдут всероссийские выборы депутатов в Государственную Думу. Автор тескта предлагает представить, что голосование уже прошло и в нынешнем созыве все четыре партии получили места в Думе",0,,,
1087,russia,1,Осенью 2021 года пройдут выборы в депутаты ГД. 2000 чел поборятся за 450 мест в парламенте.,0,,,
1090,russia,1,скоро выборы победят четыре партии,0,,,
1091,russia,1,19 сентября состоялись выборы депутатов в Государственную Думу.Победила партия Единая Россия,1,1,,
1094,russia,1,19 сентября 2021 состоятся выборы депутатов Госдумы.,0,,,
1096,russia,1,В России состоятся выборы депутатов государственной думы.Определить исход выборов смогут более 110 миллионов россиян,0,,,
1101,russia,1,"В воскресенье 19 сентября 21 года прошли выборы, россияне проголосовали за кандидатов. По итогам четыре партии получили места в парламенте",0,,,
1107,russia,1,прошли выборы и остались теже партии,0,,,
1108,russia,1,19.09 2021 г прошли выборы в государственную думу. Всё осталось по прежнему.,0,,,
1111,russia,1,"19 сентября состоялись выборы, где 110 миллионов россиян выбирали тех, кто будет представлять их позиции. 4 партии, согласно результатм выбора распределили 450 мест между собой в Государсвенной Думе",0,,,
1112,russia,1,19 сентября выборы в Госдуму РФ. В выборах примут участие  110миллионов человек,0,,,
1123,russia,1,"Должны состоятся выборы депутатов Государственной Думы. Предполагается, что четыре партии получили места в парламенте",0,,,
1127,russia,1,В 2021 году состоятся выборы в Гос. Думу. 110 миллионов россиян смогут принять участие.,0,,,
1130,russia,1,"По итогам состоящихся 19.09.2021 выборов в Государственную Думу, четыре партии получили места в парламенте.",0,,,
1133,russia,1,19сентября состоятся выборы в Госдуму. Выбирать будут 110млн россиян,0,,,
1134,russia,1,19 сентября пройдут выборы депутатов госдуму на 450 мест. 110 миллионов жителей нашей страны проголосуют за избрание депутатов. 4 партии получили места в парламент.,0,,,
1140,russia,1,"19 сентября в России будут проходить выборы депутатов ГД, ожидается более 2000 кандидатов на 450 мест в парламенте. В выборах должно поучаствовать более 110 миллион граждан РФ. Представим, что голосование завершило, и по его результататам аналогично текущей ситуации в парламенте представлены четыре партии.",0,,,
1141,russia,1,В воскресенье 19 сентября 2021 года проведут выборы 450 депутатов из 2000. Исход выбора определят 110 миллион россиян,0,,,
1152,russia,1,сто десять миллионов россиян могли выразить свое мнение вза кандидатов в парламент. Из зарегестрированных двух тысяч претендентов прошли только четыреста пятьдесят.,0,,,
1169,russia,1,В России состоятся выборы в Думу и по итогам в парламент прошли четыре партии,0,,,
1173,russia,1,"2000 кандидатов решили баллотироваться, а мест всего 450. Россияне должны проголосовать. Голосование прошло, и места получили четыре партии",0,,,
1180,russia,1,В сентябре этого года в России состоятся выборы депутатов госдумы. Более половины россиян смогут выбрать 450 депутатов из более чем 2000 зарегистрировавшихся кандидатов,0,,,
1189,russia,1,19 сентября пройдут выборы в парламент.110 миллионов смогут проголосовать и выбрать 450 человек в парламент.,0,,,
1190,russia,1,По итогам выборов представтели четырёх партий получили 450 мест в парламенте.,0,,,
1199,russia,1,"Произошли выборы в гос думу ,приняло в голосовании большая часть населения страны",0,,,
1200,russia,1,Осенью состоятся выборы в думу. 450 депутатских мест. Голосовать будут 110 млн. человек.,0,,,
1203,russia,1,19 сентебря 2021 года прошли выборы в Государственую думу. И как ожидалось прошли четыре партии как и в прошлом созыве.,0,,,
1209,russia,1,В сентябре 21 года будут выборы в госдуму. 110 миллионов россиян выберут 450 депутатов из 2000 кандидатов,0,,,
1214,russia,1,9 сентября 2021 года были выборы победили теже партии,0,,,
1216,russia,1,19 сентября 2021 г  в Россиисостоится голосование выборов депутатов. 2000 депутатов будут боро8за 450 мест в парламенте.,0,,,
1221,russia,1,"Ничего не понялось. Те же лица, никак перемен к лучшему.",1,1,,
1223,russia,1,В сентябре 2021 года в России пройдут выборы депутатов государственной Думы.,0,,,
1229,russia,1,Представлена информация о проведении и результатах выборов,0,,,
1234,russia,1,19 сентября2021г состоятся выборы в госдуму.свои голоса отдадут 110миллионов россиян.,0,,,
1240,russia,1,"Выйграют те-же партии, что и всегда. Всё будет едино)))",1,1,,
1241,russia,1,19 сентября 2021 года состоятся выборы депутатов Государственной Думы. Более 2000 зарегистрированных кандидатов примут участие в борьбе за 450 мест в парламенте.,0,,,
1245,russia,1,"В октябре 2021 года пройдут выборы в Госдуму. На 450 мест прендует 2000 человек. Ожидается, что в Думе пройдут 4 партии",0,,,
1260,russia,1,19.09.2021 состоятся выборы в парламент. на 450 мест претендуют 2000 кандидатов их выбирут 110 миллионов россиян.,0,,,
1261,russia,1,В 2021 году состоятся выборы депутатов государственной думы. Большое количество людей примут участие в голосовании.,0,,,
1267,russia,1,"В сентябре выборы в госдуму,очень много кандидатов. Решение будет принято по итогам голосования",0,,,
1282,russia,1,Будут короче выборы. ничего интересного. как всегда много хороших идей будет высказаго. по завершению выборов нихърена не будет сделано.,1,1,,
1284,russia,1,В СЕНТЯБРЕ ПОРЙДУТ ВЫБОРЫ. РЕЗУЛЬТАТ УЖЕ ИЗВЕСТЕН,1,1,,
1300,russia,1,19 сентября в России состоятся выборы депутатов Госдумы.,0,,,
1301,russia,1,19 сентября прошло голосование по его итогам четыре партии получили места в парламенте,0,,,
1311,russia,1,В сентябре 2021 года в России состоятся выборы в ГосДуму. Зарегистрировано более 2000 кандидатов.,0,,,
1316,russia,1,"19 сентября 2021 года в России пройдут выборы депутатов ГосДумы, где в борьбе за 450 мест примут участие более 2000 кандидатов. Избрать кандидата смогут более 110 миллионов россиян.<br><br>Допустим, что голосование прошло, и 4 партии получили место в парламенте.",2,,,
1327,russia,1,"В 2021году на выборах ожидается более 2000зарегистрированных кандидатов, которые будут участвовать в борьбе за 450иест",0,,,
1341,russia,1,"19 сентября 21 года прошли выборы депутатов,из 2000 есть только 450 мест и народ снова не решил ничего,ведь всё куплено",1,1,,
1344,russia,1,На сентябрьских выборах ожидается более 2000 кандидатов на 450 мест в парламенте,0,,,
1354,russia,1,19 сентября будут выборы депутатов Госдумы и проголосовать смогут 110 млн россиян. 4 партии были выбраны,0,,,
1356,russia,1,В сентябре должны состояться выборы депутатов Госдумы. В их исходе выборов будут принимать участие россияне.,0,,,
1359,russia,1,19 сентября пройдут выборы в Госдуму. Итог зависит от решения 110 миллионов россиян.,0,,,
1363,russia,1,Осенью в РФ предположительно состоятся выборы депутатов Гос. Думы.,0,,,
1565,russia,1,"19 сентября 2021 года будут выборы депутатов гос. думы, будет более 2000 кандитатов и 450 мест в парламенте, более 110 миллионов Россиян примут уастие в голосовании, по итогам четыре партии получили места в парламенте.",0,,,
1617,russia,1,"Провелись выборы в гос. Думу. На 450 мест претендовало более 2000 человек. Россияни в основном голосовали за 4 партии, они и победили на выборах.",0,,,
1622,russia,1,Будут выборы депутатов осенью четыре партии смогут получить места у кормушки,0,,,
1637,russia,1,Будут выборы депутатов осенью четыре партии смогут получить места у кормушки,0,,,
1638,russia,1,19 сентября 2021 года  должны состояться выборы депутатов ГосДумы.2000 зарегистрированных кандидатов примут участие в борьбе за 450 мест в парламенте.Более 110 миллионов россиян помогут им в этом,0,,,
1668,russia,1,В России состоятся выборы . Ожидается что более 2000 зарегистрированных кандидатов примут участие в борьбе за 450 мест в парламенте.,0,,,
1671,russia,1,"19 сентября пройдут выборы депутатов, народ решают исход выборов.",0,,,
1672,russia,1,Выборы в думу. Из 2000 т. кандитдатов выдвигают свою партию.,0,,,
1682,russia,1,должны состоятся выборы депутатов. ввыборах примут участие более 2000 кандидатов.определить исход выборов смогут более 110 миллионов человек и после выборов 4 партии получил места в парламенте,0,,,
1686,russia,1,"19 сентября 2021 года будут проведены выборы депутатов госдумы. Кандидатов будет много, в парламенте - 450 мест. 4 партии прошли по итогам выборов.",0,,,
1688,russia,1,Состоятся думские выборы.допустм останется все как есть,0,,,
1694,russia,1,"19 сентября 2021 году пройдут выборы Государственной думы, всего будет 450 мест в парламенте и 2000 кандидатов. Отбирать их смогут свыше 110 миллионов человек.",0,,,
1700,russia,1,"в сентябре должны состоятся выборы в госДуму.За 450 мест будет борьба более 2000 кандидатов,голосовать будут более 110 миллионов россиян.",0,,,
1702,russia,1,"19 сентября 2021 года состоятся выборы депутатов государственной думы, 2000 кандидатов поборется за 450 мест в парламенте. 4 партии получат место в парламенте.",0,,,
1704,russia,1,19 сентября 2021 года в России состоятся выборы депутатов за 450 мест в парламенте. Исход более 2000 кондидатов решат 110 млн. Россиян.,0,,,
1715,russia,1,Выборы и голосованиие за партии России.,0,,,
1764,russia,1,Состоялись выборы. Участвовали 110 миллионов россиян. На следующий день стало известно что выборы были проведены с нарушениями со стороны членов избирательных комиссий,3,,,
1766,russia,1,Говорится о предстоящих выборах в Гос Думу. При голосовании четыре партии получили места в парламенте.,0,,,
1777,russia,1,"19 сентября 2021 года В России состоятся выборы в государственную думу, в которых примут участии 2000 зарегистрированых кандидатов, в борьбе за 450 мест в парламенте. Допустим голосование прошло и его итоги такие же как и в нынешнем созыве",0,,,
1781,russia,1,"В воскресенье, 19 сентября 2021 года, в России состоялись выборы депутатов Государственной Думы. Четыре партии прошли в парламент.",0,,,
1791,russia,1,"Прошли выборы, четыре партии получили места в парламенте.",0,,,
1796,russia,1,В России должны состояться выборы депутатов 19 сентября 2021 года. Определить исход выборов смогут более 110 миллионов россиян.,0,,,
1807,russia,1,Миллионы россиян выбирают депутатов,0,,,
1814,russia,1,Я вобще не верю в справедливые выборы,1,1,,
1976,russia,1,в воскресенье 19 сентября 2021 110 миллионов россиян выберут 450 депутатов из 2000 зарегисрированных кандидатов,0,,,
1998,russia,1,осенью в россии состоятся выборы в госдуму. более 2000 кандидатов будут боротся за места в парламенте,0,,,
2034,russia,1,"19 сентября 2021 года состоялись выборы депутатов Государственной Думы, по их итогам, как и в нынешнем созыве, четыре партии получили места в парламенте.",0,,,
2569,russia,1,110 милионов росиян будут выбирать депутатов в гос думму изкаждой партии,0,,,
2570,russia,1,"В скором будующем ожидаются выборы, результаты которых будут решать россияне. можно предположить что в нынешнем созыве останутся прежние партии",0,,,
2571,russia,1,Состоятся выборы,0,,,
2572,russia,1,"В России состояться выборы депутатов в гос Думе .Из 2000 примут участия за 450 мест , проголовать смогу более 110 млн Россиян",0,,,
2574,russia,1,"19 сентября 2021 года в россии состоятся выборы депутатов Государственной Думы. Более 110 миллионов россиян  смогут проголосовать за более 2000 зарегистрированных кандидатов, которые примут участие в борьбе за 450 мест.в парламенте.",0,,,
2577,russia,1,В сентябре 2021 года пройдут выборы в Гос.Думу.,0,,,
2578,russia,1,Что 19 сентября пройдут выдоры депутатов. Как всегда места получили четыре партии.,0,,,
2580,russia,1,В сентябре 2021 года пройдут выборы в Госдуму. Более 2000 кандидатов поборятся за 450 мандатов.,0,,,
2581,russia,1,19 сентября предлагают россиянам прийти на выборы и сделать свой выбор депутатов государственной думы. Более 2000 депутатов поборется за 450 мест в парламенте.,0,,,
2583,russia,1,Выборы прошли по заранее утвержденному свыше сценарию. Победила единая россия,1,1,,
2585,russia,1,Напоминание о скорых выборах,0,,,
2587,russia,1,"В сентябре 2021 года в России прошли выборы депутатов государственной думы, по результатам которых места в парламенте получили четыре партии",0,,,
2588,russia,1,19 сентября пройдут выборы депутатов. пройдут только четыре партии.,0,,,
2589,russia,1,В сентябре выборы в Гос Думу,0,,,
2590,russia,1,110 миллионов россиян проголосовали за тех людей которых они хотели видеть в парламенте,0,,,
2591,russia,1,19 сентября 2021 г. Пройдут выбору в Думу. Из более чем 2000 кандидатов заветный мандат получат 450 человек благодаря выбору примерно 110 млн. россиян.,0,,,
2592,russia,1,thtyjfghk,3,,,
2593,russia,1,в сентябре этого года должны пройти выбору в гос думу рф жители нашей страны должны выбрать из 2000 кандидатов своих покорных будущих слуг народа которые в итоге будут принимать законы по которым нам необходимо будет жить в нашей любимой стране,0,,,
2597,russia,1,"19 сентября 2021 года состоятся выборы, более 2000 кандидатов примут участие в борьбе. В выбореах примет участие 110 миллионов россиян",0,,,
2599,russia,1,"19  сентября 2021 года должны пройти выборы депутатов в государственную думму,на которых примут решится кто займет место в парламенте,из 2000 кандидатов будут аыбраны 450.Исход выборов определят 110 миллионов россииян.",0,,,
2601,russia,1,В сентябре 2021 года состоятся выборы в Государственную Думу РФ. 110 миллионам россиян необходимо будет выбрать 450 депутатов из 2000 зарегистрированных кандидатов в депутаты.,0,,,
2602,russia,1,Состояться выборы депутатов в сентябре.,0,,,
2603,russia,1,"19.09.21 выборы в ГосДуму. 2000 кандидатов на 450 мест. Четыре партии: Единная Россия, КПРФ, ЛДПР, Справедливая Россия",0,,,
2604,russia,1,Из 2000 кандидатов выбрали 4 партии в парламент 19 сентября. Могли голосовать примерно 110 млн россиян.,0,,,
3318,russia,1,Будут выборы 19 сентября 1921 года. Победеил 4 партии,0,,,
3327,russia,1,19 сентября 2021 будут выборы депутатов Государственной Думы. 2000 зарегистрированных депутатов будут бороться за 450 мест в парламенте. В выборах будут участвовать более 110 миллионов россиян.,0,,,
3332,russia,1,"Предстоят выборы в Росии, в которых четыре партии получат места в парламенте по прогнозым.",0,,,
3335,russia,1,В сентябре 21 года пройдут очередные парламентские выборы. Ввыборах будут участвовать более 2000 кандидатов.,0,,,
3339,russia,1,В сентябре пройдут выборы депутатов в думу,0,,,
3342,russia,1,"19 сентября пройдут выборы депутатов Государственной Думы, по итогам которых четыре партии получат места в парламенте",0,,,
3350,russia,1,Выборы в ГосДуму пройдут 21 сентября 2021 года. Возможно как и в прошлый раз получат места в парламенте 4 партии,0,,,
3362,russia,1,Подтасовка как обычно,1,1,,
3363,russia,1,19 сентября 2021 в России пройдут выборы в Госдуму. Возможны фальсификации результатов выборов.,1,,,
3371,russia,1,Сначала надо провести выборы.,1,,,
3407,russia,1,Анонсируются выборы в Государственную Думу 2021 года. Предполагается неизменность состава парламента после выборов,0,,,
3410,russia,1,В тексте говорится о бдущих выборах в Государственную Думу. Допускается сохранение текущего состояния парламента.,0,,,
3414,russia,1,В России пройдут выборы за 450 мест в думе. Четыре крупных партий РФ получили места в думе нового созыва.,0,,,
3416,russia,1,Совсем скоро в Российской Федерации состоятся выборы в Гос.Думу. Прогнозируется большое число кандидатов в борьбе за места в парламенте.,0,,,
3421,russia,1,"19 сентября текущего года в России пройдут выборы в Госдуму, за 450 мест будут бороться 2000 кандидатов.",0,,,
3423,russia,1,"В сентябре 2021 года пройдут выборы в Государственную Думу. Допустим, что голосование прошло и четыре партии получили места в парламенте.",0,,,
3424,russia,1,"в сентябре 2021 года будут проводиться выборы депутатов госдумы, в которой примут участие более 2000 зарегистрированных кандидатов, которые будут бороться за 450 мест в парламенте, а определить исход выборов смогут более 110 миллионов россиян.",0,,,
3425,russia,1,110 миллионов россиян изберут 450 депутатов из 2000 кандидатов. По итогам выборов возможно 4 партии получат места в парламенте,0,,,
3427,russia,1,В сентябре будут выборы депутатов. По итогам голования 4 партии будут выбраны народом.,0,,,
3428,russia,1,"19 сентября 2021 года состоялись выборы в Госдуму, все партии получили места в парламенте.",0,,,
3430,russia,1,19 сентября этого года будут выборы в Государственную Думу. В итоге четыре партии выиграли выборы.,0,,,
3431,russia,1,В 2021 году состоятся выборы депутатов Государственной Думы,0,,,
3432,russia,1,"В воскресенье, 19 сентября 2021 года состоялись выборы депутатов гд. голосование уже прошло и по его итогам, как и в нынешнем созыве, четыре партии получили места в парламенте",0,,,
3434,russia,1,19 сентября 2021 в России выборы депутатов в ГосДуму. Победят те же партии.,0,,,
3435,russia,1,19 сентября 2021 состоятся выборы в Государственную думу. Допусти они прошли и четыре партии вновь победили.,0,,,
3441,russia,1,пройдет голосование в ГосДуму. Все на выборы 19 сентября.,0,,,
3463,russia,1,"в России 2021 году, примут участие в быборах депутатов в Государственную Думу более 2000 кандидатов из них только 450 попадут в парламент. Исход выборов смогут определить более 110 миллионов Россиян.",0,,,
3466,russia,1,В воскресенье прошли выборы депутатов в Государственную Думу. Большинство мест получили четыре партии.,0,,,
3470,russia,1,"В сентябре 2021 года пройдут выборы в государственную думу (450 мест в парламенте). Предположим, что выборы прошли и четыре партии получили места в парламенте",0,,,
3488,russia,1,19 сентября 2021 года состоятся выборы депутатов в Гос Думу. В выборах примут участие большое количество кандидатов и россияне смогут решить кого им выбрать,0,,,
3497,russia,1,"19 сентября 2021 года, выборы депутатов, ожидается, что более 2000 зарегистрированных кандидатов примут участие в борьбе за 450 мест в парламенте.Определить исход выборов смогут более 110 миллионов россиян.",0,,,
3498,russia,1,Более 2000 кандидатов приняли участие в борьбе за 450 мест в парламенте 19 сентября 2021 года. По итогам голосования более 110 миллионов россиян четыре партии получили места в парламенте.,0,,,
3504,russia,1,То что мы россияне сможем проголосовать осенью на выборах и выбрать кандидатов которые займут места в парламенте что бы улучшать жизнь россиян.,0,,,
3534,russia,1,"110 миллионов россиян смогут опредилить исход выборов за место в парламент, которое состояться 19 сентября.",0,,,
3538,russia,1,Скоро выборы в парламент. Исход зависит от росмиян. Допущение что прошли четыре партии,0,,,
3545,russia,1,согласен с этим. думаю верно,1,,,
3549,russia,1,"19 сентября 2021 года прйдут выборы в Государственную Думу, в голосовании примут 110 млн. жителей РФ среди 2000 кандидатов на 450мест. В результате четыре партии предавлены в Государственной думе",0,,,
3551,russia,1,"Должны состояться выборы депутатов в Думу. Россияне определят исход голосования. Мест в парламенте 450, а кандидатов 2000.",0,,,
3553,russia,1,выборы 19 сентября 2021 года и более 2000 кандидатов,0,,,
3554,russia,1,"Четыре партии получили место в Парламенте в ходе выборов  депутатов Государственной Думы, проходивших 19  сентября 2021 года. В голосовании приняло участие более 110 миллионов россиян.",0,,,
